,ID,Name,Serving_size-(g),Calories-(kcal),Water-(g/ml),Carbs-(g),Sugar-(g),Fiber-(g),Protein-(g),Of Which NonEssential-(g),Fat-(g),Of which UnHealthy-(g),Cholesterol-(mg)
167,6933,"brisket flat half separable lean and fat trimmed to 1/8"" fat select raw Beef",100,276,59.34,0.0,0.0,0.0,17.77,10.125,22.21,9.056999999999999,94.0
168,7379,"tenderloin separable lean and fat trimmed to 1/8"" fat prime raw Beef",100,274,59.52,0.0,0.0,0.0,18.15,9.926,21.83,9.030000000000001,70.0
169,274,pork Liver cheese,100,304,53.6,2.1,0.0,0.0,15.2,8.077,25.6,9.134,174.0
170,8044,"brisket flat half separable lean and fat trimmed to 1/8"" fat all grades raw Beef",100,277,59.07,0.0,0.0,0.0,17.94,10.969,22.18,9.043000000000001,92.0
171,2253,menhaden fully hydrogenated Fish oil,100,902,0.0,0.0,0.0,0.0,0.0,0.0,100.0,96.1,500.0
172,2077,industrial soy fully hydrogenated Oil,100,884,0.0,0.0,0.0,0.0,0.0,0.0,100.0,93.966,0.0
173,8782,industrial palm kernel (hydrogenated) confection fat uses similar to 95 degree hard butter Oil,100,884,0.05,0.0,0.0,0.0,0.0,0.0,100.0,93.701,0.0
174,3727,industrial cottonseed fully hydrogenated Oil,100,884,0.0,0.0,0.0,0.0,0.0,0.0,100.0,93.608,0.0
175,8020,industrial coconut (hydrogenated) used for whipped toppings and coffee whiteners Oil,100,880,0.07,0.0,0.0,0.0,0.0,0.0,99.5,93.536,0.0
176,7992,industrial palm kernel (hydrogenated) confection fat intermediate grade product Oil,100,884,0.04,0.0,0.0,0.0,0.0,0.0,100.0,92.614,0.0
177,6889,coconut (hydrogenated) and or palm kernel (hydrogenated) Shortening confectionery,100,884,0.0,0.0,0.0,0.0,0.0,0.0,100.0,91.3,0.0
178,278,nutmeg butter Oil,100,884,0.0,0.0,0.0,0.0,0.0,0.0,100.0,90.0,0.0
179,949,pork beef link Brotwurst,100,323,51.3,2.98,2.98,0.0,14.3,8.24,27.8,9.993,63.0
180,328,granulated Sugars,100,387,0.02,99.98,99.8,0.0,0.0,0.0,0.0,0.0,0.0
181,435,turbinado Sugar,100,399,0.03,99.8,99.19,0.0,0.0,0.0,0.0,0.0,0.0
182,407,powdered Sugars,100,389,0.23,99.77,97.81,0.0,0.0,0.0,0.0,0.0,0.0
183,2688,Whiskey sour mix powder Beverages,100,383,0.6,97.3,97.3,0.0,0.6,0.0,0.1,0.019,0.0
184,3313,lemonade-flavor drink powder Beverages,100,380,0.52,97.9,97.15,0.0,0.0,0.0,1.01,0.183,0.0
185,534,brown Sugars,100,380,1.34,98.09,97.02,0.0,0.12,0.0,0.0,0.0,0.0
186,2326,powder Strawberry-flavor beverage mix,100,389,0.4,99.1,95.45,0.0,0.1,0.0,0.2,0.0,0.0
187,5052,tea instant decaffeinated lemon sweetened Beverages,100,401,0.13,98.55,95.29,0.0,0.12,0.0,0.73,0.091,0.0
188,4688,tea instant lemon sweetened powder Beverages,100,401,0.13,98.55,95.29,0.7,0.12,0.0,0.73,0.097,0.0
189,942,Lemonade powder Beverages,100,376,1.43,97.57,94.7,0.4,0.0,0.0,1.05,0.151,0.0
190,1382,vanilla dry mix instant Puddings,100,377,2.6,92.9,92.9,0.0,0.0,0.0,0.6,0.432,0.0
191,2976,tabletop fructose dry powder Sweeteners,100,368,0.0,100.0,92.7,0.0,0.0,0.0,0.0,0.0,0.0
192,5376,orange-flavor drink breakfast type powder Beverages,100,386,0.14,98.94,92.31,0.4,0.0,0.0,0.0,0.0,0.0
193,5010,frozen concentrate white prepared with water Lemonade,100,40,89.35,10.42,9.98,0.0,0.07,0.0,0.04,0.006,0.0
194,7349,canned or bottled unsweetened with added ascorbic acid Pineapple juice,100,53,86.37,12.87,9.98,0.2,0.36,0.0,0.12,0.008,0.0
195,7894,canned not from concentrate unsweetened with added vitamins A C and E Pineapple juice,100,50,87.06,12.18,9.98,0.2,0.36,0.0,0.14,0.0,0.0
196,7194,canned or bottled unsweetened without added ascorbic acid Pineapple juice,100,53,86.37,12.87,9.98,0.2,0.36,0.0,0.12,0.008,0.0
197,425,raw Blueberries,100,57,84.21,14.49,9.96,2.4,0.74,0.314,0.33,0.028,0.0
198,7399,apple grape and pear blend with added ascorbic acid and calcium Juice,100,52,86.44,12.96,9.95,0.2,0.17,0.0,0.12,0.021,0.0
199,4867,pasteurized process cheddar or American fat-free Cheese,100,148,56.9,13.4,9.95,0.0,22.5,0.0,0.8,0.515,11.0
200,5157,KELLOGG KELLOGG'S RICE KRISPIES TREATS Squares Snacks,100,414,5.9,80.5,19.36,0.0,3.4,0.0,9.0,1.4,0.0
201,7028,fruit strawberry) cherry blueberry frosted (include apples Toaster Pastries,100,385,14.04,71.83,31.0,1.8,4.01,2.858,9.02,3.091,0.0
202,2438,family style hash browns Restaurant,100,197,59.85,26.59,1.38,2.7,2.49,0.0,8.99,1.689,0.0
